Country Name,Year,GDP
United Kingdom,2016,44082.1164678492
United Kingdom,2017,46048.2000506645
United Kingdom,2018,47090.4848967293
United Kingdom,2019,49911.1566522001
United Kingdom,2020,47987.5832915072
United Kingdom,2021,50972.2445879987
United Kingdom,2022,58382.9758958382
United Kingdom,2023,58225.131161573
Georgia,2015,12269.6528932768
Georgia,2016,13065.294157468
Georgia,2017,13718.9378669764
Georgia,2018,15021.9057577433
Georgia,2019,16770.1333771469
Georgia,2020,16791.2598654465
Georgia,2021,18915.6534005263
Georgia,2022,22461.3326414548
Georgia,2023,25071.9677147202
Ghana,2015,5191.37053389659
Ghana,2016,5011.07931572904
Ghana,2017,5170.96094857439
Ghana,2018,5536.49795400218
Ghana,2019,6002.55044678386
Ghana,2020,6047.30111673554
Ghana,2021,6607.50297378321
Ghana,2022,7209.03673375227
Ghana,2023,7543.02674728777
Guinea,2015,1929.68091332187
Guinea,2016,2255.32617992615
Guinea,2017,2687.09504827171
Guinea,2018,2844.46427670549
Guinea,2019,3105.82789015443
Guinea,2020,3331.85663003801
Guinea,2021,3738.8051255133
Guinea,2022,4062.36136437923
Guinea,2023,4383.15219659423
"Gambia, The",2015,1990.31625750973
"Gambia, The",2016,2012.67648180251
"Gambia, The",2017,2038.95429850128
"Gambia, The",2018,2277.44236224191
"Gambia, The",2019,2421.72318070615
"Gambia, The",2020,2530.80414937307
"Gambia, The",2021,2777.79620978324
"Gambia, The",2022,3067.31040374628
"Gambia, The",2023,3254.37457704257
Guinea-Bissau,2015,1729.94260310123
Guinea-Bissau,2016,1824.3730977071
Guinea-Bissau,2017,2081.81287227685
Guinea-Bissau,2018,2057.96969129146
Guinea-Bissau,2019,2236.62931389656
Guinea-Bissau,2020,2259.29992070284
Guinea-Bissau,2021,2450.97796398284
Guinea-Bissau,2022,2685.75185932065
Guinea-Bissau,2023,2862.07122513845
Equatorial Guinea,2015,19478.7010123338
Equatorial Guinea,2016,16649.4757672359
Equatorial Guinea,2017,18434.7708571004
Equatorial Guinea,2018,18413.1294204577
Equatorial Guinea,2019,16451.3641478324
Equatorial Guinea,2020,13677.110587517
Equatorial Guinea,2021,16821.4486470413
Equatorial Guinea,2022,18139.9893266271
Equatorial Guinea,2023,17411.5002343839
Greece,2015,26614.8483754225
Greece,2016,27504.5497984948
Greece,2017,28681.6815585005
Greece,2018,29792.0592519585
Greece,2019,31927.3792151369
Greece,2020,29533.087740299
Greece,2021,33531.1551122601
Greece,2022,38969.0221675373
Greece,2023,41181.9912164326
Grenada,2015,13214.4096644941
Grenada,2016,13977.5055879135
Grenada,2017,15041.4525712067
Grenada,2018,15974.8591933124
Grenada,2019,16446.1138871871
Grenada,2020,14361.1267154452
Grenada,2021,15298.1231115237
Grenada,2022,17554.7320332415
Grenada,2023,18807.9447446443
Greenland,2015,55815.6502883608
Greenland,2016,58908.5907737767
Greenland,2017,60010.0982907298
Greenland,2018,61806.8271308174
Greenland,2019,64264.0564607393
Greenland,2020,64857.6287053798
Greenland,2021,68086.4601238175
Guatemala,2015,8934.00234903182
Guatemala,2016,9201.42770060247
Guatemala,2017,9560.17427571403
Guatemala,2018,9946.80385923331
Guatemala,2019,10755.8780911166
Guatemala,2020,10947.3705618969
Guatemala,2021,11828.3300095601
Guatemala,2022,13019.4785883909
Guatemala,2023,13750.28790648
Guyana,2015,11408.473901349
Guyana,2016,11516.3798289577
Guyana,2017,12243.2225968541
Guyana,2018,12442.5087185876
Guyana,2019,13240.9713761155
Guyana,2020,16819.4228714695
Guyana,2021,22865.9321661614
Guyana,2022,39710.9668873971
Guyana,2023,54732.1440663013
Высокий уровень дохода,2015,43095.0317464636
Высокий уровень дохода,2016,44261.5945233133
Высокий уровень дохода,2017,46197.073366931
Высокий уровень дохода,2018,48465.0331681549
Высокий уровень дохода,2019,50843.7127316395
Высокий уровень дохода,2020,49778.6556435641
Высокий уровень дохода,2021,55301.139936757
Высокий уровень дохода,2022,60749.540914124
Высокий уровень дохода,2023,63189.1518332032
"Hong Kong SAR, China",2015,56043.042695697
"Hong Kong SAR, China",2016,56761.4824132224
"Hong Kong SAR, China",2017,59260.9131761938
"Hong Kong SAR, China",2018,60900.2752924537
"Hong Kong SAR, China",2019,61221.4195400701
"Hong Kong SAR, China",2020,58187.4764072535
"Hong Kong SAR, China",2021,65884.9376260603
"Hong Kong SAR, China",2022,68602.277510883
"Hong Kong SAR, China",2023,71548.9642046156
Honduras,2015,4845.59566521125
Honduras,2016,5186.15897417161
Honduras,2017,5620.65455247733
Honduras,2018,5633.3832384519
Honduras,2019,5784.93081057111
Honduras,2020,5384.69831983038
Honduras,2021,6202.98078812037
Honduras,2022,6805.4935829456
Honduras,2023,7178.80729487996
Бедные страны с высоким уровнем задолженности (ХИПК),2015,2357.51478833668
Бедные страны с высоким уровнем задолженности (ХИПК),2016,2453.6078207941
Бедные страны с высоким уровнем задолженности (ХИПК),2017,2541.71781719658
Бедные страны с высоким уровнем задолженности (ХИПК),2018,2646.27060936276
Бедные страны с высоким уровнем задолженности (ХИПК),2019,2781.96953883233
Бедные страны с высоким уровнем задолженности (ХИПК),2020,2776.7014897995
Бедные страны с высоким уровнем задолженности (ХИПК),2021,2970.85854710621
Бедные страны с высоким уровнем задолженности (ХИПК),2022,3238.32067166964
Бедные страны с высоким уровнем задолженности (ХИПК),2023,3391.41542852495
Croatia,2015,23759.0502658242
Croatia,2016,25804.7667593252
